"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 26 14:18:59 GMT 2024","Wed Jun 26 14:19:01 GMT 2024","1271","api","collections.spec.ts","","","","Get Collection made by Rembrandt van Rijn",""
"passed","Wed Jun 26 14:19:01 GMT 2024","Wed Jun 26 14:19:04 GMT 2024","3274","api","collections.spec.ts","","","","Get details for ArtObject: De Nachtwacht",""
