"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 26 14:12:58 GMT 2024","Wed Jun 26 14:13:00 GMT 2024","2292","api","collections.spec.ts","","","","Get details for ArtObject: De Nachtwacht",""
"passed","Wed Jun 26 14:12:56 GMT 2024","Wed Jun 26 14:12:58 GMT 2024","1406","api","collections.spec.ts","","","","Get Collection made by Rembrandt van Rijn",""
