"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 26 14:23:51 GMT 2024","Wed Jun 26 14:23:52 GMT 2024","924","api","collections.spec.ts","","","","Get Collection made by Rembrandt van Rijn",""
"passed","Wed Jun 26 14:23:52 GMT 2024","Wed Jun 26 14:23:54 GMT 2024","1797","api","collections.spec.ts","","","","Get details for ArtObject: De Nachtwacht",""
