"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 26 14:25:04 GMT 2024","Wed Jun 26 14:25:07 GMT 2024","2678","api","collections.spec.ts","","","","Get details for ArtObject: De Nachtwacht",""
"passed","Wed Jun 26 14:25:02 GMT 2024","Wed Jun 26 14:25:04 GMT 2024","2387","api","collections.spec.ts","","","","Get Collection made by Rembrandt van Rijn",""
